Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
STATMATH;Statistik;Klausurvorbereitung;03.04.19;06:08:27;03.04.19;07:23:27;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;ÖH Kurs;05.04.19;11:00:58;05.04.19;13:00:59;2:00:01;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;;08.04.19;10:30:31;08.04.19;13:00:31;2:30:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;;08.04.19;21:00:50;08.04.19;21:43:56;0:43:06;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;ÖH Kurs;09.04.19;17:00:21;09.04.19;21:15:22;4:15:01;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Vorlesung;09.04.19;14:00:57;09.04.19;17:00:57;3:00:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;09.04.19;08:34:13;09.04.19;10:04:40;1:30:27;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;09.04.19;10:47:35;09.04.19;12:02:35;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;09.04.19;12:56:15;09.04.19;13:41:15;0:45:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Repetitorium;10.04.19;09:00:41;10.04.19;15:00:41;6:00:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;ÖH Kurs;10.04.19;17:00:01;10.04.19;21:00:02;4:00:01;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Repetitorium;11.04.19;10:00:10;11.04.19;16:00:10;6:00:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;14.04.19;16:01:54;14.04.19;18:03:56;2:02:02;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;14.04.19;08:05:38;14.04.19;09:20:38;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;14.04.19;10:22:20;14.04.19;11:36:46;1:14:26;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;ÖH Kurs;15.04.19;09:00:57;15.04.19;15:00:58;6:00:01;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;15.04.19;17:35:16;15.04.19;18:50:16;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;ÖH Kurs;16.04.19;09:00:05;16.04.19;13:00:06;4:00:01;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;16.04.19;19:48:38;16.04.19;20:33:57;0:45:19;LEARN@WU;CBK;SS2019
